feature_name,weight,abs_weight,rank
latent_557,0.00038166248,0.00038166248,2394
latent_1029,-0.00038164764,0.00038164764,2395
latent_2478,-0.00038137753,0.00038137753,2396
latent_718,-0.00038132002,0.00038132002,2397
latent_1111,-0.00038126428,0.00038126428,2398
latent_2872,-0.00038110893,0.00038110893,2399
latent_2391,0.00038105273,0.00038105273,2400
latent_665,-0.0003809129,0.0003809129,2401
latent_710,0.0003806676,0.0003806676,2402
latent_2717,0.0003804706,0.0003804706,2403
latent_1911,-0.00038022667,0.00038022667,2404
latent_2691,0.00038008636,0.00038008636,2405
latent_2914,-0.00037998476,0.00037998476,2406
latent_3148,-0.0003799769,0.0003799769,2407
latent_3322,0.00037996605,0.00037996605,2408
latent_962,-0.00037968456,0.00037968456,2409
latent_34,-0.00037891642,0.00037891642,2410
latent_1630,0.00037890268,0.00037890268,2411
latent_3913,0.00037861548,0.00037861548,2412
latent_3900,0.00037846612,0.00037846612,2413
latent_1170,-0.00037835998,0.00037835998,2414
latent_2877,-0.00037825995,0.00037825995,2415
latent_314,-0.00037808323,0.00037808323,2416
latent_2032,-0.0003780692,0.0003780692,2417
latent_3233,-0.00037781498,0.00037781498,2418
latent_327,-0.00037747005,0.00037747005,2419
latent_4092,-0.0003764603,0.0003764603,2420
latent_1361,-0.00037643628,0.00037643628,2421
latent_1876,-0.00037595668,0.00037595668,2422
latent_1271,-0.00037535146,0.00037535146,2423
latent_3868,0.00037473405,0.00037473405,2424
latent_1503,-0.0003744843,0.0003744843,2425
latent_1598,-0.0003741843,0.0003741843,2426
latent_1141,0.00037335264,0.00037335264,2427
latent_2342,-0.0003727235,0.0003727235,2428
latent_1369,0.00037253025,0.00037253025,2429
latent_225,0.00037247513,0.00037247513,2430
latent_562,0.0003721598,0.0003721598,2431
latent_2836,-0.00037212207,0.00037212207,2432
latent_2881,0.00037197713,0.00037197713,2433
latent_2476,0.0003718066,0.0003718066,2434
latent_2796,0.00037177518,0.00037177518,2435
latent_291,0.00037161948,0.00037161948,2436
latent_294,0.00037134523,0.00037134523,2437
latent_3734,-0.0003713193,0.0003713193,2438
latent_2018,0.00037062773,0.00037062773,2439
latent_3084,0.00037048047,0.00037048047,2440
latent_545,-0.00037047168,0.00037047168,2441
latent_3545,-0.00037032572,0.00037032572,2442
latent_3688,-0.00037015424,0.00037015424,2443
latent_2622,0.00037015355,0.00037015355,2444
latent_2013,-0.0003699967,0.0003699967,2445
latent_708,-0.00036938494,0.00036938494,2446
latent_2271,-0.00036937746,0.00036937746,2447
latent_2317,-0.00036924452,0.00036924452,2448
latent_276,0.0003683169,0.0003683169,2449
latent_1616,-0.00036831343,0.00036831343,2450
latent_3470,-0.00036773493,0.00036773493,2451
latent_127,-0.00036744765,0.00036744765,2452
latent_1455,-0.00036713836,0.00036713836,2453
latent_2837,-0.00036662503,0.00036662503,2454
latent_3502,0.00036617223,0.00036617223,2455
latent_3018,0.00036584958,0.00036584958,2456
latent_2841,-0.00036572228,0.00036572228,2457
latent_1102,0.000364934,0.000364934,2458
latent_3671,-0.0003648664,0.0003648664,2459
latent_144,-0.0003646835,0.0003646835,2460
latent_2453,0.00036457667,0.00036457667,2461
latent_604,-0.00036454844,0.00036454844,2462
latent_3014,0.00036415452,0.00036415452,2463
latent_775,-0.00036387963,0.00036387963,2464
latent_2482,-0.0003635322,0.0003635322,2465
latent_959,0.00036322314,0.00036322314,2466
latent_362,0.00036295125,0.00036295125,2467
latent_1087,-0.00036274418,0.00036274418,2468
latent_2626,0.00036192322,0.00036192322,2469
latent_982,0.00036132464,0.00036132464,2470
latent_3168,-0.00036118145,0.00036118145,2471
latent_3985,-0.00036095147,0.00036095147,2472
latent_1288,-0.0003607996,0.0003607996,2473
latent_2312,0.00036057807,0.00036057807,2474
latent_3621,0.00035937395,0.00035937395,2475
latent_2474,-0.00035897916,0.00035897916,2476
latent_3492,0.0003584018,0.0003584018,2477
latent_1821,-0.0003583455,0.0003583455,2478
latent_3515,0.0003580486,0.0003580486,2479
latent_1844,0.0003578486,0.0003578486,2480
latent_3420,-0.00035735694,0.00035735694,2481
latent_497,0.00035712507,0.00035712507,2482
latent_2923,-0.0003570734,0.0003570734,2483
latent_1917,0.00035693488,0.00035693488,2484
latent_2844,-0.0003560685,0.0003560685,2485
latent_2666,0.0003559851,0.0003559851,2486
latent_3445,-0.0003558956,0.0003558956,2487
latent_3675,-0.0003558296,0.0003558296,2488
latent_1548,-0.0003557123,0.0003557123,2489
latent_3095,-0.00035555483,0.00035555483,2490
latent_3771,0.0003555539,0.0003555539,2491
latent_1558,0.0003554619,0.0003554619,2492
latent_3662,0.00035514653,0.00035514653,2493
latent_2720,-0.00035436742,0.00035436742,2494
latent_3928,-0.00035411693,0.00035411693,2495
latent_2128,-0.00035402653,0.00035402653,2496
latent_683,-0.00035383884,0.00035383884,2497
latent_1973,-0.00035340566,0.00035340566,2498
latent_1000,-0.00035305115,0.00035305115,2499
latent_2856,-0.0003519688,0.0003519688,2500
latent_877,0.00035183944,0.00035183944,2501
latent_1458,-0.0003516783,0.0003516783,2502
latent_2281,-0.0003514297,0.0003514297,2503
latent_1016,0.00035070805,0.00035070805,2504
latent_1934,-0.00035050086,0.00035050086,2505
latent_3922,-0.00035006306,0.00035006306,2506
latent_3332,0.00034954346,0.00034954346,2507
latent_3446,-0.00034944134,0.00034944134,2508
latent_2915,-0.00034933374,0.00034933374,2509
latent_2605,0.00034921744,0.00034921744,2510
latent_1789,0.00034916,0.00034916,2511
latent_868,0.00034913057,0.00034913057,2512
latent_2445,-0.00034855495,0.00034855495,2513
latent_1097,-0.00034844296,0.00034844296,2514
latent_3180,-0.00034839154,0.00034839154,2515
latent_2826,-0.00034826717,0.00034826717,2516
latent_3267,0.00034811778,0.00034811778,2517
latent_534,-0.00034787404,0.00034787404,2518
latent_2264,0.0003478192,0.0003478192,2519
latent_3036,0.0003474632,0.0003474632,2520
